chapter,paragraph,sentence,entities
1,6,36,"['Ganoes Stabro Paran', 'Topper']"
1,6,40,['Ganoes Stabro Paran']
1,6,41,['Laseen']
1,6,43,['Ganoes Stabro Paran']
1,6,44,['Laseen']
1,6,50,['Ganoes Stabro Paran']
1,6,56,['Ganoes Stabro Paran']
1,6,62,['Topper']
1,6,64,['Ganoes Stabro Paran']
1,6,70,['Ganoes Stabro Paran']
1,6,72,['Ganoes Stabro Paran']
1,6,76,['Ganoes Stabro Paran']
1,6,79,['Ganoes Stabro Paran']
1,6,83,['Napan tutor']
1,7,1,['Ganoes Stabro Paran']
1,7,6,['Ganoes Stabro Paran']
1,7,21,['Ganoes Stabro Paran']
1,7,25,['Ganoes Stabro Paran']
1,7,27,['Ganoes Stabro Paran']
1,7,30,['Ganoes Stabro Paran']
1,7,35,['Ganoes Stabro Paran']
1,7,37,['Ganoes Stabro Paran']
1,7,47,['Ganoes Stabro Paran']
1,7,58,['Ganoes Stabro Paran']
1,7,65,['Ganoes Stabro Paran']
1,7,74,['Gamet']
1,7,78,['Ganoes Stabro Paran']
1,8,0,['Ganoes Stabro Paran']
1,8,6,['Tavore']
1,8,10,['Ganoes Stabro Paran']
1,8,25,['Tavore']
1,8,30,['Felisin']
1,8,33,['Tavore']
1,8,35,['Felisin']
1,8,43,['Ganoes Stabro Paran']
2,0,4,['Tattersail']
2,0,7,['Tattersail']
2,0,11,['Tattersail']
2,0,25,['Tattersail']
2,0,32,['Tattersail']
2,0,35,['Hairlock']
2,0,39,['Tattersail']
2,0,44,['Hairlock']
2,0,51,['Tattersail']
2,0,66,['Hairlock']
2,0,67,['Tattersail']
2,0,70,['Hairlock']
2,0,72,"['Tayschrenn', 'Hairlock']"
2,0,91,['Tattersail']
2,0,98,['Tattersail']
2,0,104,['Hairlock']
2,0,105,['Tattersail']
2,0,111,['Hairlock']
2,0,115,['Tattersail']
2,0,119,"['Tattersail', 'Hairlock']"
2,0,125,['Whiskeyjack']
2,0,127,['Tattersail']
2,0,134,['Laseen']
2,0,139,['Detoran']
2,0,143,['Tattersail']
2,0,145,['Tattersail']
2,0,151,['Hairlock']
2,0,152,['Tattersail']
2,0,158,['Quick Ben']
2,0,168,['Whiskeyjack']
2,0,171,['Quick Ben']
2,0,175,['Tattersail']
2,0,177,['Tattersail']
2,0,179,['Tattersail']
2,0,182,['Whiskeyjack']
2,0,196,['Tattersail']
2,0,199,['Tattersail']
2,0,217,['Tattersail']
2,0,219,['Tattersail']
2,0,227,"['Fiddler', 'Hedge']"
2,0,233,['Tayschrenn']
2,0,237,['Tattersail']
2,0,241,['Tayschrenn']
2,1,0,['Calot']
2,1,3,['Tattersail']
2,1,4,['Calot']
2,1,8,['Hairlock']
2,1,9,['Tattersail']
2,1,18,"['Hairlock', 'Dujek Onearm']"
2,1,20,['Calot']
2,1,22,['Nedurian']
2,1,23,"['Calot', 'Tattersail', 'Calot']"
2,1,27,['Tattersail']
2,1,28,['Hairlock']
2,1,31,"['Calot', 'Tattersail']"
2,1,33,['Calot']
2,1,36,['Tattersail']
2,1,39,['Tattersail']
2,1,43,['Laseen']
2,1,45,['Tattersail']
2,1,50,['Caladan Brood']
2,1,52,['Caladan Brood']
2,1,54,['Caladan Brood']
2,1,56,['Tattersail']
2,1,61,['Calot']
2,1,63,['Tattersail']
2,1,66,"['Hairlock', 'Calot']"
2,1,76,['Tattersail']
2,1,86,"['Tattersail', 'Calot']"
2,1,101,['Tattersail']
2,1,103,['Calot']
2,1,110,['Calot']
2,1,111,['Tattersail']
2,1,112,['Dujek Onearm']
2,1,114,['Tattersail']
2,1,115,['Calot']
2,1,116,['Calot']
2,1,118,['Laseen']
2,1,121,['Tattersail']
2,1,125,['Hairlock']
2,1,128,['Tattersail']
2,1,131,['Calot']
2,1,134,"['Tattersail', 'Calot']"
2,1,136,['Hairlock']
2,1,139,"['Dujek Onearm', 'Tattersail', 'Nedurian']"
2,1,142,['Hairlock']
2,1,145,['Tattersail']
2,1,147,['Dujek Onearm']
2,1,154,['Napan tutor']
2,1,155,"['Calot', 'Dujek Onearm']"
2,1,160,['Calot']
2,1,166,['Hairlock']
2,1,167,['Fiddler']
2,1,168,['Dujek Onearm']
2,1,170,['Tattersail']
2,1,171,['Dujek Onearm']
2,1,173,['Calot']
2,1,180,['Tattersail']
2,1,182,['Laseen']
2,1,183,['Calot']
2,1,184,['Dujek Onearm']
2,1,188,['Hairlock']
2,1,192,['Tattersail']
2,1,195,['Hairlock']
2,1,202,['Hairlock']
2,1,203,"['Tayschrenn', 'Dujek Onearm']"
2,1,218,['Calot']
2,1,219,['Tattersail']
2,1,221,['Tayschrenn']
2,1,224,"['Hairlock', 'Tayschrenn']"
2,1,227,['Tattersail']
2,1,228,['Tayschrenn']
2,1,229,['Tayschrenn']
2,1,233,['Hairlock']
2,1,236,['Tayschrenn']
2,1,242,['Hairlock']
2,1,243,['Hairlock']
2,1,250,"['Hairlock', 'Tayschrenn', 'Dujek Onearm']"
2,1,257,"['Caladan Brood', 'Calot']"
2,1,260,"['Tattersail', 'Tayschrenn']"
2,1,265,['Hairlock']
2,1,266,['Tayschrenn']
2,1,272,"['Tayschrenn', 'Hairlock']"
2,1,276,['Hairlock']
2,1,280,"['Tattersail', 'Dujek Onearm']"
2,1,281,['Tayschrenn']
2,1,283,['Calot']
2,1,286,['Calot']
2,1,288,['Dujek Onearm']
2,1,293,['Tattersail']
2,1,297,"['Hairlock', 'Tayschrenn']"
2,1,298,['Calot']
2,1,299,['Tayschrenn']
2,1,300,['Calot']
2,1,302,"['Calot', 'Dujek Onearm']"
2,1,304,['Calot']
2,1,306,"['Hairlock', 'Tayschrenn']"
2,1,308,['Calot']
2,1,311,"['Tattersail', 'Dujek Onearm']"
2,1,314,"['Caladan Brood', 'Calot']"
2,1,315,['Tattersail']
2,1,318,['Tattersail']
2,1,321,"['Caladan Brood', 'Dujek Onearm']"
2,1,325,['Hairlock']
2,1,326,['Tayschrenn']
2,1,330,['Tayschrenn']
2,1,337,"['Anomander Rake', 'Caladan Brood']"
2,1,338,['Hairlock']
2,1,339,['Hairlock']
2,1,341,['Tattersail']
2,1,343,['Bellurdan']
2,1,348,['Tattersail']
2,1,352,"['Tayschrenn', 'Hairlock']"
2,1,358,['Tattersail']
2,2,0,['Tattersail']
2,2,1,['Tayschrenn']
2,2,3,['Tayschrenn']
2,2,7,['Bellurdan']
2,2,8,"[""A'Karonys""]"
2,2,15,['Tattersail']
2,2,17,['Hairlock']
2,2,18,"['Calot', 'Tattersail', 'Hairlock']"
2,2,19,"['Hairlock', 'Tattersail']"
2,2,22,['Calot']
2,2,25,"['Nightchill', 'Bellurdan', ""A'Karonys""]"
2,2,26,"['Tayschrenn', 'Hairlock']"
2,2,27,['Calot']
2,2,30,"[""A'Karonys"", 'Bellurdan', 'Nightchill']"
2,2,31,['Tattersail']
2,2,37,['Tattersail']
2,2,39,"['Bellurdan', 'Tayschrenn']"
2,2,40,['Tattersail']
2,2,42,['Dujek Onearm']
2,2,44,['Hairlock']
2,2,45,"['Calot', 'Tattersail']"
2,2,53,['Calot']
2,2,58,['Calot']
2,2,59,['Tayschrenn']
2,2,63,['Tattersail']
2,2,69,['Tattersail']
2,2,70,['Hairlock']
2,2,80,['Anomander Rake']
2,2,82,['Tattersail']
2,2,85,['Tayschrenn']
2,2,89,['Tattersail']
2,2,93,['Tattersail']
2,2,95,['Calot']
2,2,97,['Tattersail']
2,2,103,['Hairlock']
2,2,104,['Tattersail']
2,2,105,['Calot']
2,2,107,['Tattersail']
2,2,110,['Tattersail']
2,2,111,['Calot']
2,2,114,['Tattersail']
2,2,115,['Calot']
2,2,117,['Tattersail']
2,2,119,['Calot']
2,2,120,['Hairlock']
2,2,122,['Nightchill']
2,2,123,['Bellurdan']
2,2,126,"[""A'Karonys""]"
2,2,129,['Tayschrenn']
2,2,133,['Tattersail']
2,2,143,['Tayschrenn']
2,2,146,"['Bellurdan', 'Nightchill']"
2,2,147,['Tattersail']
2,2,149,['Tayschrenn']
2,2,150,['Dujek Onearm']
2,2,152,['Tattersail']
2,3,6,['Tattersail']
2,3,11,['Hood']
2,3,18,"['Quick Ben', 'Hairlock']"
2,3,19,['Quick Ben']
2,3,21,['Tattersail']
2,3,23,['Quick Ben']
2,3,26,['Quick Ben']
2,3,29,['Kalam']
2,3,30,['Kalam']
2,3,32,"['Tattersail', 'Hairlock']"
2,3,34,"['Tattersail', 'Kalam']"
2,3,37,['Kalam']
2,3,39,"['Quick Ben', 'Hairlock']"
2,3,44,['Tattersail']
2,3,46,"['Quick Ben', 'Hairlock']"
2,3,53,['Hairlock']
2,3,54,['Tattersail']
2,3,60,['Calot']
2,3,71,['Calot']
2,3,72,['Hairlock']
2,3,73,['Anomander Rake']
2,3,79,['Tayschrenn']
2,3,80,['Hairlock']
2,3,84,['Tattersail']
2,3,85,['Dujek Onearm']
2,3,86,['Whiskeyjack']
2,3,88,['Hairlock']
2,3,90,['Quick Ben']
2,3,91,['Hairlock']
2,3,94,['Quick Ben']
2,3,95,['Hairlock']
2,3,99,"['Quick Ben', 'Whiskeyjack']"
2,3,101,['Tattersail']
2,3,104,['Quick Ben']
2,3,105,"['Kalam', 'Tattersail']"
2,3,107,['Quick Ben']
2,3,110,['Tayschrenn']
2,3,111,['Tattersail']
2,3,122,"['Tattersail', 'Quick Ben']"
2,3,131,"['Kalam', 'Tattersail']"
2,3,138,['Hairlock']
2,3,142,['Tayschrenn']
2,3,143,['Kalam']
2,3,146,['Tattersail']
2,3,156,['Tattersail']
2,4,1,['Quick Ben']
2,4,3,['Sorry']
2,4,4,['Whiskeyjack']
2,4,11,['Fiddler']
2,4,14,['Whiskeyjack']
2,4,15,['Quick Ben']
2,4,17,['Tattersail']
2,4,20,['Kalam']
2,4,24,['Kalam']
2,4,29,['Kalam']
2,4,30,"['Whiskeyjack', 'Quick Ben']"
2,4,33,['Sorry']
2,4,43,['Quick Ben']
2,4,48,['Kalam']
2,4,50,['Whiskeyjack']
2,4,55,['Quick Ben']
2,4,60,"['Kalam', 'Fiddler']"
2,4,62,['Quick Ben']
2,4,65,['Quick Ben']
2,4,70,"['Whiskeyjack', 'Quick Ben']"
2,4,74,['Quick Ben']
2,4,75,"['Kalam', 'Mallet', 'Fiddler', 'Trotts']"
2,4,78,['Quick Ben']
2,4,79,['Whiskeyjack']
2,4,82,['Whiskeyjack']
2,5,2,['Tattersail']
2,5,7,['Tattersail']
2,5,10,"['Tayschrenn', 'Calot']"
2,5,13,['Calot']
2,5,21,['Tayschrenn']
2,5,35,['Tattersail']
2,5,43,['Tattersail']
2,5,44,['Kalam']
2,5,49,['Calot']
2,5,50,['Calot']
2,5,55,['Dancer']
2,5,64,['Tattersail']
2,5,72,['Hairlock']
2,5,80,['Hairlock']
2,5,85,['Tayschrenn']
2,5,90,['Hairlock']
2,5,94,['Tattersail']
2,5,103,['Hairlock']
2,5,105,['Tattersail']
2,5,109,['Tattersail']
2,5,113,['Hairlock']
2,5,119,['Hairlock']
2,5,122,['Tattersail']
2,5,129,['Hairlock']
2,5,131,['Oponn']
2,5,133,['Hairlock']
2,5,134,"['Lady of Beggars', 'Lady Orr']"
2,5,137,['Tattersail']
2,5,147,['Hairlock']
2,5,149,"['Tattersail', 'Oponn']"
2,5,155,['Hairlock']
2,5,162,['Tattersail']
2,5,168,['Tattersail']
2,5,170,['Tayschrenn']
2,5,171,['Hairlock']
2,5,176,['Tayschrenn']
2,5,179,['Tattersail']
2,5,183,['Hairlock']
2,5,186,['Tattersail']
2,5,189,['Oponn']
2,5,194,['Oponn']
2,5,195,['Oponn']
2,5,196,['Hairlock']
2,5,200,['Oponn']
3,0,7,['Ganoes Stabro Paran']
3,0,10,['Ganoes Stabro Paran']
3,0,12,['Ganoes Stabro Paran']
3,0,15,['Ganoes Stabro Paran']
3,0,23,['Ganoes Stabro Paran']
3,0,25,['Ganoes Stabro Paran']
3,0,26,['Topper']
3,0,27,['Whiskeyjack']
3,0,30,['Ganoes Stabro Paran']
3,0,35,"['Laseen', 'Surly']"
3,0,36,['Surly']
3,0,41,['Topper']
3,0,43,['Ganoes Stabro Paran']
3,0,44,"['Ganoes Stabro Paran', 'Whiskeyjack']"
3,0,46,['Topper']
3,0,47,['Dujek Onearm']
3,0,54,['Dujek Onearm']
3,0,61,['Topper']
3,0,62,['Ganoes Stabro Paran']
3,0,64,['Ganoes Stabro Paran']
3,0,73,['Dujek Onearm']
3,0,77,['Ganoes Stabro Paran']
3,0,79,['Topper']
3,0,80,['Laseen']
3,0,81,['Topper']
3,0,85,['Topper']
3,0,88,['Ganoes Stabro Paran']
3,0,112,['Ganoes Stabro Paran']
3,1,65,['Lorn']
3,2,0,['Tattersail']
3,2,3,['Tayschrenn']
3,2,19,['Tattersail']
3,2,25,['Bellurdan']
3,2,28,['Bellurdan']
3,2,32,['Tattersail']
3,2,42,['Bellurdan']
3,2,46,['Tattersail']
3,2,53,['Tayschrenn']
3,2,55,['Tattersail']
3,2,56,['Tayschrenn']
3,2,58,['Bellurdan']
3,2,60,"['Nightchill', 'Bellurdan']"
3,2,63,['Tayschrenn']
3,2,65,['Tattersail']
3,2,72,['Tayschrenn']
3,2,73,['Tattersail']
3,2,75,['Tayschrenn']
3,2,78,"['Tattersail', 'Bellurdan']"
3,2,79,['Hairlock']
3,2,83,['Quick Ben']
3,2,84,['Hairlock']
3,2,91,['Bellurdan']
3,2,96,['Tattersail']
3,2,99,['Tayschrenn']
3,2,101,['Bellurdan']
3,2,104,['Tattersail']
3,2,111,['Bellurdan']
3,2,115,['Nightchill']
3,2,118,['Tattersail']
3,2,120,['Bellurdan']
3,2,123,['Tattersail']
3,3,0,['Kalam']
3,3,7,['Kalam']
3,3,13,['Quick Ben']
3,3,16,['Whiskeyjack']
3,3,19,"['Kalam', 'Quick Ben']"
3,3,22,['Caladan Brood']
3,3,32,['Tayschrenn']
3,3,38,['Kalam']
3,3,46,['Kalam']
3,3,49,['Sorry']
3,3,53,['Kalam']
3,3,57,['Tayschrenn']
3,3,60,['Quick Ben']
3,3,61,['Whiskeyjack']
3,3,63,['Sorry']
3,3,65,['Kalam']
3,3,68,['Laseen']
3,3,73,['Kalam']
3,3,76,['Laseen']
3,3,77,['Dujek Onearm']
3,3,81,['Kalam']
3,3,85,"['Hairlock', 'Quick Ben']"
3,3,86,['Whiskeyjack']
3,3,88,['Kalam']
3,3,91,['Whiskeyjack']
3,3,101,['Hairlock']
3,3,102,['Tayschrenn']
3,3,110,['Kalam']
3,3,111,['Quick Ben']
3,3,118,['Whiskeyjack']
3,3,125,['Hairlock']
3,3,126,['Sorry']
3,3,127,['Kalam']
3,3,130,"['Quick Ben', 'Kalam']"
3,3,133,"['Kalam', 'Quick Ben']"
3,3,134,['Whiskeyjack']
3,3,141,"['Fiddler', 'Sorry']"
3,3,143,['Kalam']
3,3,155,"['Quick Ben', 'Kalam']"
3,4,0,['Tattersail']
3,4,5,['Tayschrenn']
3,4,10,['Tattersail']
3,4,13,['Tayschrenn']
3,4,15,"['Quick Ben', 'Kalam', 'Sorry']"
3,4,18,"['Whiskeyjack', 'Tayschrenn']"
3,4,21,['Tattersail']
3,4,26,['Oponn']
3,4,29,['Tattersail']
3,4,30,['Tattersail']
3,4,34,['Tayschrenn']
3,4,37,['Tattersail']
3,4,42,['Tattersail']
3,4,44,['Tayschrenn']
3,4,70,"['Oponn', 'Lady of Beggars', 'Lady Orr']"
3,4,71,['Tayschrenn']
3,4,75,"['Lady of Beggars', 'Lady Orr']"
3,4,82,['Oponn']
3,4,83,['Crown']
3,4,90,['Tattersail']
3,4,91,['Oponn']
3,4,93,['Tayschrenn']
3,4,101,['Tattersail']
3,4,107,['Oponn']
3,4,111,['Tayschrenn']
3,4,112,['Tattersail']
3,4,117,['Shadowthrone Ammanas']
3,4,119,['Shadowthrone Ammanas']
3,4,120,['Oponn']
3,4,122,['Tayschrenn']
3,4,124,['Tattersail']
3,4,129,['Tayschrenn']
3,4,130,['Tattersail']
3,4,133,['Tattersail']
3,4,138,['Whiskeyjack']
3,4,143,['Tattersail']
3,4,146,['Oponn']
3,4,153,['Tattersail']
3,4,158,['Tattersail']
3,4,163,['Tattersail']
3,4,174,['Tattersail']
3,5,0,['Ganoes Stabro Paran']
3,5,14,['Ganoes Stabro Paran']
3,5,29,['Ganoes Stabro Paran']
3,5,36,['Ganoes Stabro Paran']
3,5,43,['Whiskeyjack']
3,5,44,['Ganoes Stabro Paran']
3,5,51,['Ganoes Stabro Paran']
3,5,61,['Ganoes Stabro Paran']
3,5,65,['Dassem Ultor']
3,5,66,['Whiskeyjack']
3,5,68,['Dassem Ultor']
3,5,74,['Ganoes Stabro Paran']
3,5,79,['Dassem Ultor']
3,5,80,['Ganoes Stabro Paran']
3,5,92,['Ganoes Stabro Paran']
3,5,98,['Caladan Brood']
3,5,107,['Oponn']
3,5,115,['Ganoes Stabro Paran']
3,5,116,['Ganoes Stabro Paran']
3,5,120,['Tayschrenn']
3,5,123,['Ganoes Stabro Paran']
3,5,126,['Ganoes Stabro Paran']
3,5,138,['Ganoes Stabro Paran']
3,5,145,['Ganoes Stabro Paran']
3,5,148,['Ganoes Stabro Paran']
3,5,154,['Ganoes Stabro Paran']
3,6,0,['Ganoes Stabro Paran']
3,6,3,['Lorn']
3,6,5,['Ganoes Stabro Paran']
3,6,12,['Ganoes Stabro Paran']
3,6,16,['Ganoes Stabro Paran']
3,6,28,['Ganoes Stabro Paran']
3,6,31,['Ganoes Stabro Paran']
3,6,32,['Antsy']
3,6,37,['Antsy']
3,6,38,['Hedge']
3,6,39,['Antsy']
3,6,41,['Ganoes Stabro Paran']
3,6,42,['Antsy']
3,6,44,['Hedge']
3,6,47,"['Picker', 'Ganoes Stabro Paran']"
3,6,50,['Ganoes Stabro Paran']
3,6,58,['Ganoes Stabro Paran']
3,6,62,['Ganoes Stabro Paran']
3,6,64,['Picker']
3,6,67,['Ganoes Stabro Paran']
3,6,69,"['Ganoes Stabro Paran', 'Picker']"
3,6,70,"['Picker', 'Hedge', 'Hedge', 'Picker']"
3,6,74,['Ganoes Stabro Paran']
3,6,76,['Picker']
3,6,77,['Ganoes Stabro Paran']
3,6,78,['Antsy']
3,6,79,['Ganoes Stabro Paran']
3,6,84,['Ganoes Stabro Paran']
3,6,85,['Picker']
3,6,89,['Antsy']
3,7,0,['Ganoes Stabro Paran']
3,7,6,['Ganoes Stabro Paran']
3,7,8,['Ganoes Stabro Paran']
3,7,15,['Ganoes Stabro Paran']
3,7,17,['Ganoes Stabro Paran']
3,7,20,['Mallet']
3,7,21,['Trotts']
3,7,28,"['Ganoes Stabro Paran', 'Mallet', 'Trotts']"
3,7,29,['Hedge']
3,7,30,"['Ganoes Stabro Paran', 'Mallet']"
3,7,32,['Hedge']
3,7,34,['Mallet']
3,7,41,['Hedge']
3,7,42,['Trotts']
3,7,47,['Ganoes Stabro Paran']
3,7,48,"['Trotts', 'Hedge', 'Mallet', 'Trotts']"
3,7,49,['Mallet']
3,7,50,['Ganoes Stabro Paran']
3,7,55,['Ganoes Stabro Paran']
3,7,63,['Hedge']
3,7,68,['Ganoes Stabro Paran']
3,7,73,['Hedge']
3,7,74,['Ganoes Stabro Paran']
3,7,79,['Ganoes Stabro Paran']
3,7,82,['Ganoes Stabro Paran']
3,7,98,['Ganoes Stabro Paran']
3,7,101,['Ganoes Stabro Paran']
3,7,108,['Ganoes Stabro Paran']
3,7,119,['Shadowthrone Ammanas']
3,7,120,['Laseen']
3,7,125,['Lorn']
3,7,129,['Ganoes Stabro Paran']
4,0,0,"['Tattersail', 'Whiskeyjack']"
4,0,1,['Hairlock']
4,0,4,['Tattersail']
4,0,6,"['Whiskeyjack', 'Quick Ben', 'Kalam', 'Fiddler']"
4,0,8,['Quick Ben']
4,0,15,"['Kalam', 'Quick Ben']"
4,0,16,['Hairlock']
4,0,17,"['Quick Ben', 'Tattersail']"
4,0,20,['Tattersail']
4,0,21,['Tayschrenn']
4,0,22,['Hairlock']
4,0,25,"['Quick Ben', 'Hairlock']"
4,0,30,['Tayschrenn']
4,0,31,['Quick Ben']
4,0,34,['Laseen']
4,0,36,['Tattersail']
4,0,38,['Hairlock']
4,0,39,['Tayschrenn']
4,0,44,['Tayschrenn']
4,0,45,['Dujek Onearm']
4,0,50,"['Tayschrenn', 'Dujek Onearm']"
4,0,52,['Tayschrenn']
4,0,58,['Quick Ben']
4,0,60,"['Tattersail', 'Tayschrenn']"
4,0,70,['Kalam']
4,0,72,['Tattersail']
4,0,74,['Kalam']
4,0,77,['Fiddler']
4,0,80,"['Whiskeyjack', 'Tattersail']"
4,0,82,['Quick Ben']
4,0,86,['Tattersail']
4,0,89,"['Tayschrenn', 'Quick Ben']"
4,0,90,"['Hairlock', 'Tattersail']"
4,0,92,['Whiskeyjack']
4,0,100,['Fiddler']
4,0,107,['Quick Ben']
4,0,108,['Tattersail']
4,0,110,['Quick Ben']
4,0,111,['Kalam']
4,0,113,"['Quick Ben', 'Tattersail']"
4,0,127,['Kalam']
4,0,130,['Quick Ben']
4,0,131,['Tattersail']
4,0,136,['Kalam']
4,0,139,['Laseen']
4,0,142,['Tattersail']
4,0,147,['Shadowthrone Ammanas']
4,0,149,['Quick Ben']
4,0,154,['Tattersail']
4,0,156,['Sorry']
4,0,157,['Kalam']
4,0,158,['Hairlock']
4,0,159,['Tattersail']
4,0,160,['Kalam']
4,0,162,['Laseen']
4,0,163,['Kellanved']
4,0,165,['Tattersail']
4,0,167,['Quick Ben']
4,0,174,['Tattersail']
4,0,181,"['Quick Ben', 'Sorry']"
4,0,182,['Whiskeyjack']
4,0,183,"['Quick Ben', 'Tattersail']"
4,0,187,['Kalam']
4,0,188,['Kalam']
4,0,202,['Tattersail']
4,0,204,"['Hairlock', 'Quick Ben', 'Kalam']"
4,0,207,['Tattersail']
4,0,210,['Dassem Ultor']
4,0,211,['Dassem Ultor']
4,0,213,"['Dassem Ultor', 'Hood']"
4,0,215,['Dassem Ultor']
4,0,216,['Whiskeyjack']
4,0,219,['Sorry']
4,0,222,"['Quick Ben', 'Kalam']"
4,0,223,['Hairlock']
4,0,226,['Tattersail']
4,0,231,['Whiskeyjack']
4,0,235,['Fiddler']
4,0,243,['Tattersail']
4,0,249,['Kalam']
4,0,250,['Fiddler']
4,0,254,['Tattersail']
4,0,255,['Fiddler']
4,0,258,['Fiddler']
4,0,262,['Kalam']
4,0,263,['Tattersail']
4,0,269,"['Tattersail', 'Quick Ben']"
4,0,275,['Quick Ben']
4,0,276,['Tattersail']
4,1,0,['Ganoes Stabro Paran']
4,1,17,['Ganoes Stabro Paran']
4,1,19,['Ganoes Stabro Paran']
